Entity,Code,Year,Oil - Crude prices since 1861 (current $)
World,OWID_WRL,1981,35.93000030517578
World,OWID_WRL,1982,32.970001220703125
World,OWID_WRL,1983,29.549999237060547
World,OWID_WRL,1984,28.780000686645508
World,OWID_WRL,1985,27.559999465942383
World,OWID_WRL,1986,14.430000305175781
World,OWID_WRL,1987,18.435039520263672
World,OWID_WRL,1988,14.92384147644043
World,OWID_WRL,1989,18.226112365722656
World,OWID_WRL,1990,23.725820541381836
World,OWID_WRL,1991,20.000913619995117
World,OWID_WRL,1992,19.320837020874023
World,OWID_WRL,1993,16.971633911132812
World,OWID_WRL,1994,15.817625999450684
World,OWID_WRL,1995,17.016679763793945
World,OWID_WRL,1996,20.668487548828125
World,OWID_WRL,1997,19.092588424682617
World,OWID_WRL,1998,12.71566104888916
World,OWID_WRL,1999,17.970077514648438
World,OWID_WRL,2000,28.49544906616211
World,OWID_WRL,2001,24.443891525268555
World,OWID_WRL,2002,25.023256301879883
World,OWID_WRL,2003,28.830703735351562
World,OWID_WRL,2004,38.26499938964844
World,OWID_WRL,2005,54.521087646484375
World,OWID_WRL,2006,65.1440658569336
World,OWID_WRL,2007,72.38907623291016
World,OWID_WRL,2008,97.25597381591797
World,OWID_WRL,2009,61.6712646484375
World,OWID_WRL,2010,79.49553680419922
World,OWID_WRL,2011,111.25559997558594
World,OWID_WRL,2012,111.6697006225586
World,OWID_WRL,2013,108.65851593017578
World,OWID_WRL,2014,98.94600677490234
World,OWID_WRL,2015,52.38676071166992
World,OWID_WRL,2016,43.734169006347656
World,OWID_WRL,2017,54.192440032958984
World,OWID_WRL,2018,71.31005859375
World,OWID_WRL,2019,64.2105712890625
World,OWID_WRL,2020,41.83834457397461
World,OWID_WRL,2021,70.91189575195312
